utilization;EDF_busy_period;FPS_busy_period;EDF_first_DM_miss;EDF_schedulable;FPS_schedulable;hyperperiod;Priority_i,Deadline_i,Period_i,ID_i,WCET_i,EDF_response_time_i,FPS_response_time_i,FPS_deadline_miss_task_i,utilization_context_switch_i,utilization_clock, utilization_support_function_i
0.99;1879734.0;193691.0;0;1;0;1000000;10,33000,33000,1,7535,23061.0,7553.0,0,0.0,0.0,0.0;9,39000,39000,2,1116,29061.0,8687.0,0,0.0,0.0,0.0;8,43000,43000,3,12010,33061.0,20715.0,0,0.0,0.0,0.0;7,47000,47000,4,5189,37061.0,25922.0,0,0.0,0.0,0.0;6,50000,50000,5,3527,40061.0,29467.0,0,0.0,0.0,0.0;5,56000,56000,6,2307,46061.0,31792.0,0,0.0,0.0,0.0;4,64000,64000,7,1709,54061.0,42206.0,0,0.0,0.0,0.0;3,86000,86000,8,4745,76061.0,80488.0,0,0.0,0.0,0.0;2,88000,88000,9,1768,78061.0,82274.0,0,0.0,0.0,0.0;1,100000,100000,10,12955,90061.0,193691.0,1,0.0,0.0,0.0;
0.99;2326422.0;307413.0;0;1;0;1000000;10,19000,19000,1,1309,6906.0,1327.0,0,0.0,0.0,0.0;9,34000,34000,2,1738,21906.0,3083.0,0,0.0,0.0,0.0;8,41000,41000,3,2508,28906.0,5609.0,0,0.0,0.0,0.0;7,63000,63000,4,7774,50906.0,13401.0,0,0.0,0.0,0.0;6,82000,82000,5,4382,69906.0,17801.0,0,0.0,0.0,0.0;5,87000,87000,6,14703,74906.0,33849.0,0,0.0,0.0,0.0;4,90000,90000,7,18465,77906.0,59268.0,0,0.0,0.0,0.0;3,90000,90000,8,6091,77906.0,74925.0,0,0.0,0.0,0.0;2,94000,94000,9,8426,81906.0,148746.0,1,0.0,0.0,0.0;1,97000,97000,10,9740,84906.0,307413.0,1,0.0,0.0,0.0;
0.99;1986996.0;136704.0;0;1;0;1000000;10,11000,11000,1,923,4081.0,941.0,0,0.0,0.0,0.0;9,28000,28000,2,704,21081.0,1663.0,0,0.0,0.0,0.0;8,31000,31000,3,457,24081.0,2138.0,0,0.0,0.0,0.0;7,40000,40000,4,401,33081.0,2557.0,0,0.0,0.0,0.0;6,41000,41000,5,2110,34081.0,4685.0,0,0.0,0.0,0.0;5,54000,54000,6,12175,47081.0,17819.0,0,0.0,0.0,0.0;4,61000,61000,7,1225,54081.0,19062.0,0,0.0,0.0,0.0;3,74000,74000,8,8629,67081.0,29372.0,0,0.0,0.0,0.0;2,80000,80000,9,14461,73081.0,48755.0,0,0.0,0.0,0.0;1,83000,83000,10,21720,76081.0,136704.0,1,0.0,0.0,0.0;
0.99;1362584.0;1258914.0;0;1;0;1000000;10,22000,22000,1,4144,8114.0,4162.0,0,0.0,0.0,0.0;9,37000,37000,2,6776,23114.0,10956.0,0,0.0,0.0,0.0;8,49000,49000,3,840,35114.0,11814.0,0,0.0,0.0,0.0;7,57000,57000,4,13326,43114.0,29320.0,0,0.0,0.0,0.0;6,76000,76000,5,4097,62114.0,33435.0,0,0.0,0.0,0.0;5,78000,78000,6,7175,64114.0,52442.0,0,0.0,0.0,0.0;4,81000,81000,7,7157,67114.0,100245.0,1,0.0,0.0,0.0;3,81000,81000,8,1401,67114.0,108839.0,1,0.0,0.0,0.0;2,91000,91000,9,10008,77114.0,209782.0,1,0.0,0.0,0.0;1,96000,96000,10,572,82114.0,1258914.0,1,0.0,0.0,0.0;
0.99;1679065.0;541410.0;0;1;0;1000000;10,14000,14000,1,2487,4076.0,2505.0,0,0.0,0.0,0.0;9,20000,20000,2,4826,10076.0,7349.0,0,0.0,0.0,0.0;8,26000,26000,3,184,16076.0,7551.0,0,0.0,0.0,0.0;7,36000,36000,4,72,26076.0,7641.0,0,0.0,0.0,0.0;6,37000,37000,5,3314,27076.0,10973.0,0,0.0,0.0,0.0;5,58000,58000,6,7191,48076.0,25531.0,0,0.0,0.0,0.0;4,65000,65000,7,11005,55076.0,50032.0,0,0.0,0.0,0.0;3,89000,89000,8,5146,79076.0,55398.0,0,0.0,0.0,0.0;2,94000,94000,9,9400,84076.0,166622.0,1,0.0,0.0,0.0;1,98000,98000,10,2073,88076.0,541410.0,1,0.0,0.0,0.0;
0.99;1595808.0;170971.0;0;1;0;1000000;10,31000,31000,1,1650,22980.0,1668.0,0,0.0,0.0,0.0;9,39000,39000,2,3151,30980.0,4837.0,0,0.0,0.0,0.0;8,40000,40000,3,7285,31980.0,12140.0,0,0.0,0.0,0.0;7,49000,49000,4,5094,40980.0,17252.0,0,0.0,0.0,0.0;6,53000,53000,5,1955,44980.0,19225.0,0,0.0,0.0,0.0;5,56000,56000,6,4287,47980.0,23530.0,0,0.0,0.0,0.0;4,57000,57000,7,12259,48980.0,37475.0,0,0.0,0.0,0.0;3,79000,79000,8,1565,70980.0,74865.0,0,0.0,0.0,0.0;2,96000,96000,9,1110,87980.0,75993.0,0,0.0,0.0,0.0;1,100000,100000,10,20991,91980.0,170971.0,1,0.0,0.0,0.0;
0.99;2320237.0;309850.0;0;1;0;1000000;10,12000,12000,1,1141,5271.0,1159.0,0,0.0,0.0,0.0;9,22000,22000,2,2580,15271.0,3757.0,0,0.0,0.0,0.0;8,22000,22000,3,1060,15271.0,4835.0,0,0.0,0.0,0.0;7,31000,31000,4,7876,24271.0,13888.0,0,0.0,0.0,0.0;6,46000,46000,5,6728,39271.0,20634.0,0,0.0,0.0,0.0;5,53000,53000,6,966,46271.0,21618.0,0,0.0,0.0,0.0;4,67000,67000,7,5584,60271.0,41108.0,0,0.0,0.0,0.0;3,78000,78000,8,2413,71271.0,43539.0,0,0.0,0.0,0.0;2,86000,86000,9,12866,79271.0,117362.0,1,0.0,0.0,0.0;1,93000,93000,10,4361,86271.0,309850.0,1,0.0,0.0,0.0;
0.99;1299271.0;148136.0;0;1;0;1000000;10,21000,21000,1,2194,6519.0,2212.0,0,0.0,0.0,0.0;9,47000,47000,2,997,32519.0,3227.0,0,0.0,0.0,0.0;8,55000,55000,3,4962,40519.0,8207.0,0,0.0,0.0,0.0;7,65000,65000,4,1444,50519.0,9669.0,0,0.0,0.0,0.0;6,66000,66000,5,3425,51519.0,13112.0,0,0.0,0.0,0.0;5,69000,69000,6,190,54519.0,13320.0,0,0.0,0.0,0.0;4,69000,69000,7,8007,54519.0,23557.0,0,0.0,0.0,0.0;3,73000,73000,8,13679,58519.0,37254.0,0,0.0,0.0,0.0;2,93000,93000,9,2942,78519.0,40214.0,0,0.0,0.0,0.0;1,93000,93000,10,33673,78519.0,148136.0,1,0.0,0.0,0.0;
0.99;1547276.0;335620.0;0;1;0;1000000;10,16000,16000,1,1968,9639.0,1986.0,0,0.0,0.0,0.0;9,20000,20000,2,564,13639.0,2568.0,0,0.0,0.0,0.0;8,24000,24000,3,5753,17639.0,8339.0,0,0.0,0.0,0.0;7,24000,24000,4,1274,17639.0,9631.0,0,0.0,0.0,0.0;6,33000,33000,5,1198,26639.0,10847.0,0,0.0,0.0,0.0;5,36000,36000,6,8221,29639.0,21654.0,0,0.0,0.0,0.0;4,41000,41000,7,1566,34639.0,23238.0,0,0.0,0.0,0.0;3,86000,86000,8,13737,79639.0,70496.0,0,0.0,0.0,0.0;2,87000,87000,9,4256,80639.0,142064.0,1,0.0,0.0,0.0;1,87000,87000,10,2982,80639.0,335620.0,1,0.0,0.0,0.0;
0.99;2088048.0;172960.0;0;1;0;1000000;10,16000,16000,1,3367,3385.0,3385.0,0,0.0,0.0,0.0;9,23000,23000,2,408,8837.0,3811.0,0,0.0,0.0,0.0;8,28000,28000,3,218,13837.0,4047.0,0,0.0,0.0,0.0;7,40000,40000,4,521,25837.0,4586.0,0,0.0,0.0,0.0;6,50000,50000,5,8526,35837.0,13130.0,0,0.0,0.0,0.0;5,68000,68000,6,10403,53837.0,27362.0,0,0.0,0.0,0.0;4,70000,70000,7,2040,55837.0,29656.0,0,0.0,0.0,0.0;3,73000,73000,8,2410,58837.0,35469.0,0,0.0,0.0,0.0;2,75000,75000,9,12408,60837.0,61025.0,0,0.0,0.0,0.0;1,91000,91000,10,17269,76837.0,172960.0,1,0.0,0.0,0.0;
