timeStamp;mode;totalTasks;short;mid;long;feasibilityEDF;maxLoadEDF;iterEDF;feasibilityFPS;iterFPS
2019-04-12_12:30:07.313097;i;62;22;20;20;false;1.0022194857366815;4941;false;1066
numTask;DeadlineMiss;Executions
1;7;7
2;7;7
3;7;7
4;6;6
5;5;5
6;5;5
7;4;4
8;4;4
9;4;4
10;4;4
11;4;4
12;4;4
13;4;4
14;3;3
15;3;3
16;3;2
17;2;2
18;2;2
19;2;2
20;2;2
21;2;2
22;2;2
23;2;2
24;0;0
25;0;0
26;0;0
27;0;0
28;0;0
29;0;0
30;0;0
31;0;0
32;0;0
33;0;0
34;0;0
35;0;0
36;0;0
37;0;0
38;0;0
39;0;0
40;0;0
41;0;0
42;0;0
43;0;0
44;0;0
45;0;0
46;0;0
47;0;0
48;0;0
49;0;0
50;0;0
51;0;0
52;0;0
53;0;0
54;0;0
55;0;0
56;0;0
57;0;0
58;0;0
59;0;0
60;0;0
61;0;0
62;0;0
63;0;0
64;0;0
65;0;0
